signal_id,time,type,strategy_id,strategy_name,stock_code,stock_name,severity,priority,title,content
2b2b78d7-2e1e-4932-b78d-4a7c0a8c5835,2026-06-22T19:35:48,selection,rzq,弱转强,,,info,medium,策略「弱转强」选出 30 只标的,策略「弱转强」选出 30 只标的，Top3：深科技(000021.SZ)、沙河股份(000014.SZ)、深振业Ａ(000006.SZ)
f733da61-4f3c-4998-b029-0b50cb5cbe59,2026-06-22T19:36:20,selection,cslx,错杀低吸,,,info,medium,策略「错杀低吸」选出 30 只标的,策略「错杀低吸」选出 30 只标的，Top3：天际股份(002759.SZ)、天银机电(300342.SZ)、瑞玛精密(002976.SZ)
7e749d73-d795-434e-98b7-042724c38bb0,2026-06-22T19:36:20,selection,dbqzt,打板求涨停,,,info,medium,策略「打板求涨停」选出 30 只标的,策略「打板求涨停」选出 30 只标的，Top3：庄园牧场(002910.SZ)、中核科技(000777.SZ)、诺德股份(600110.SH)
b5c3ad61-555d-45e0-b367-002144c91a27,2026-06-22T19:36:20,selection,qszsl,趋势主升浪,,,info,medium,策略「趋势主升浪」选出 30 只标的,策略「趋势主升浪」选出 30 只标的，Top3：同洲电子(002052.SZ)、华孚时尚(002042.SZ)、骄成超声(688392.SH)
c7d4c8fc-5c1b-4bae-a46d-516a1616e424,2026-06-22T19:36:21,selection,qzrfc,强转弱反抽,,,info,medium,策略「强转弱反抽」选出 30 只标的,策略「强转弱反抽」选出 30 只标的，Top3：供销大集(000564.SZ)、中国长城(000066.SZ)、德龙汇能(000593.SZ)
33deb50f-e35f-4d2f-b71e-0d4beb8c7848,2026-06-22T19:36:21,selection,rzq,弱转强,,,info,medium,策略「弱转强」选出 30 只标的,策略「弱转强」选出 30 只标的，Top3：深科技(000021.SZ)、沙河股份(000014.SZ)、深振业Ａ(000006.SZ)
7b6634b4-9208-4ca4-9de5-785d2dc66f77,2026-06-22T19:36:52,selection,cslx,错杀低吸,,,info,medium,策略「错杀低吸」选出 30 只标的,策略「错杀低吸」选出 30 只标的，Top3：天际股份(002759.SZ)、天银机电(300342.SZ)、瑞玛精密(002976.SZ)
9802211c-b01e-4615-b60a-9eddb320efa0,2026-06-22T19:36:53,selection,dbqzt,打板求涨停,,,info,medium,策略「打板求涨停」选出 30 只标的,策略「打板求涨停」选出 30 只标的，Top3：庄园牧场(002910.SZ)、中核科技(000777.SZ)、诺德股份(600110.SH)
e2b251f5-2f2d-43af-b7a2-3cd8ece7fe58,2026-06-22T19:36:53,selection,qszsl,趋势主升浪,,,info,medium,策略「趋势主升浪」选出 30 只标的,策略「趋势主升浪」选出 30 只标的，Top3：同洲电子(002052.SZ)、华孚时尚(002042.SZ)、骄成超声(688392.SH)
16c9bbfc-a425-4218-8851-84bb2a89e36c,2026-06-22T19:36:54,selection,qzrfc,强转弱反抽,,,info,medium,策略「强转弱反抽」选出 30 只标的,策略「强转弱反抽」选出 30 只标的，Top3：供销大集(000564.SZ)、中国长城(000066.SZ)、德龙汇能(000593.SZ)
