MainBusiness,SafeValue,ShineValue,ShapeValue,TPFlag,ZTPrice,DTPrice,HqDate,fHSL,fLianB,Wtb,Zsz,Ltsz,vzangsu,Fzhsl,FzAmo,VOpenZAF,ZAF,ZAFYesterday,ZAFPre2D,ZAFPre5,ZAFPre10,ZAFPre20,ZAFPre30,ZAFPre60,ZAFYear,ZAFPreMyMonth,ZAFPreOneYear,Zjl,Zjl_HB,TotalBVol,TotalSVol,BCancel,SCancel,L2TicNum,L2OrderNum,FCAmo,FCb,OpenZAF,OpenAmo,OpenZTBuy,OpenAmoPre1,OpenVolPre1,CJJEPre1,CJJEPre3,FDEPre1,FDEPre2,ZTGPNum,LastStartZT,LastZTHzNum,EverZTCount,ConZAFDateNum,YearZTDay,MA5Value,HisHigh,HisLow,IPO_Price,More_YJL,BetaValue,DynaPE,MorePE,StaticPE_TTM,DYRatio,PB_MRQ,IsT0Fund,IsZCZGP,IsKzz,Kzz_HSCode,QHMainYYMM,FreeLtgb,Yield,KfEarnMoney,RDInputFee,CashZJ,PreReceiveZJ,OtherQYJzc,StaffNum,RecentGGJYDate,RecentHGDate,RecentIncentDate,NoticeDate_Recent,RecentReleaseDate,RecentDZDate,ReportDate,ZTDate_Recent,DTDate_Recent,TopDate_Recent,StopJYDate_Recent,code,类型,查询时间
ICT领域产品,66,1,50808,0,18.48,12.32,20260616,14.27,2.95,36.86,78.48,64.05,1.41,0.49,1326.87,0.13,11.17,4.34,2.79,11.89,16.71,-8.70,-2.50,-9.46,17.02,13.98,35.23,21452.97,1900.55,14058.00,65480.00,213652.00,214983.00,66026,117176,0.00,0.00,2.73,6418700.00,0.00,101.63,683.00,28750.73,141493.95,0.00,0.00,0,1,0,0,3,0,15.29,21.20,12.17,17.50,0.00,1.70,209.07,230.75,214.32,0.00,23.68,0,0,0,0,0,32064.52,641.87,957.34,1257.48,12233.51,9894.51,0.00,948,0,20241210,0,0,20180824,20260612,20260421,20250212,20250407,20250214,0,300249.SZ,股票,2026-06-16 20:26:34
数据感知,55,1,90901,0,19.06,12.70,20260616,2.81,0.87,-50.91,33.90,24.96,1.36,0.09,100.24,1.72,-0.13,3.18,1.32,-1.18,-5.93,-22.10,-19.29,-30.26,-34.00,-3.88,7.38,-831.39,-437.89,2254.00,10638.00,35695.00,18881.00,11311,25388,0.00,0.00,0.69,206299.98,0.00,11.59,75.00,8609.52,23911.69,0.00,0.00,0,1,0,0,-1,4,15.60,34.50,14.68,25.00,0.00,1.13,-352.76,83.14,88.40,0.00,6.14,0,0,0,0,0,13870.58,20.63,-326.59,1045.95,13133.43,3760.74,0.00,609,0,20250106,0,0,20190708,20160407,20260429,20251204,20200410,20251210,0,300250.SZ,股票,2026-06-16 20:26:34
影视剧及相关衍生业务,80,2,90904,0,13.87,9.25,20260616,1.19,0.73,-49.85,341.47,323.05,1.40,0.07,539.67,0.00,0.69,2.21,2.91,-0.35,-6.21,-15.41,-20.43,-28.37,-28.28,-8.70,-36.29,170.17,-1507.37,26521.00,89972.00,201194.00,167842.00,40324,79846,0.00,0.00,-0.26,2470900.00,0.00,219.21,1928.00,45901.16,159667.56,0.00,0.00,0,1,0,0,3,2,11.40,29.73,10.95,52.50,0.00,0.75,366.77,20.28,-105.86,1.30,3.40,0,0,0,0,0,135163.38,247.09,941.94,1044.35,181221.18,13054.87,0.00,676,0,0,20230818,0,20160328,20150326,20260422,20260210,20260224,20260224,0,300251.SZ,股票,2026-06-16 20:26:34
通信组件及连接器,79,1,121408,0,21.20,14.14,20260616,17.49,1.46,74.21,126.58,103.37,1.40,0.58,2450.34,-1.01,4.70,6.64,-1.49,11.18,28.83,11.98,25.34,30.92,26.54,24.91,81.56,2512.51,7779.37,40400.00,44170.00,323721.00,231368.00,141131,225515,0.00,0.00,-1.02,8724000.00,0.00,811.19,4872.00,130548.81,425506.87,0.00,0.00,0,1,0,0,2,1,17.16,18.65,10.15,16.20,0.00,1.27,149.78,842.35,374.53,0.00,5.56,0,0,0,0,0,48362.80,872.40,-904.12,4588.17,48740.21,1646.78,0.00,5256,0,20230907,20240110,0,20230807,20260529,20260428,20250911,20250407,20250912,0,300252.SZ,股票,2026-06-16 20:26:34
软件及服务,62,1,91404,0,8.76,5.84,20260616,2.41,1.02,20.30,158.71,133.72,1.46,0.08,319.91,0.00,-1.23,1.67,3.31,-2.44,-8.97,-21.72,-16.55,-21.55,-18.25,-8.04,-21.72,-3655.06,-4665.80,26894.00,64474.00,186740.00,176099.00,42112,70424,0.00,0.00,-0.82,845600.00,0.00,169.42,2353.00,31259.44,105362.75,0.00,0.00,0,1,0,0,-1,1,7.17,16.09,6.90,27.50,0.00,0.96,282.79,-42.98,-44.01,0.00,2.90,0,0,0,0,0,170518.78,84.56,152.67,8050.12,161106.60,26637.17,9170.16,5570,0,20260423,20260227,0,20211101,20160315,20260423,20260112,20230703,20260112,0,300253.SZ,股票,2026-06-16 20:26:34
泌尿系统药,82,3,140108,0,11.15,7.43,20260616,5.41,0.89,-46.58,23.76,20.97,0.97,0.11,106.44,-0.85,-0.11,-1.48,1.29,-8.12,-11.62,-33.57,-31.26,-23.43,-8.30,-14.70,-13.02,-254.97,-885.65,6944.00,10738.00,109368.00,50957.00,16580,31120,0.00,0.00,-0.75,296900.00,0.00,31.46,328.00,10481.03,30490.62,0.00,0.00,0,1,0,0,-2,0,9.39,15.20,8.98,13.00,0.00,1.20,177.75,95.72,133.62,0.00,5.40,0,0,0,0,0,22067.00,29.69,170.62,1273.90,13761.09,3751.10,0.00,1162,0,0,20250723,0,20250728,20220510,20260428,20240527,20190429,20240527,0,300254.SZ,股票,2026-06-16 20:26:34
低分子肝素制剂,80,1,11310,0,36.40,24.26,20260616,4.39,1.65,-83.99,269.93,269.51,0.81,0.11,515.74,0.07,-3.17,-14.05,1.09,-26.20,-24.17,-28.36,-28.99,-23.83,-52.71,-28.80,-42.13,7111.12,-24103.62,14545.00,30866.00,160455.00,195959.00,64436,127352,0.00,0.00,-2.67,11849301.00,0.00,1790.21,5642.00,117517.27,285869.24,0.00,0.00,0,1,0,0,-2,0,33.48,71.71,27.88,28.00,0.00,0.67,1149.41,-77.89,-78.34,0.00,22.30,0,0,0,0,0,63697.87,1184.93,127.25,723.29,18732.34,935.67,0.00,1194,0,0,0,0,20160929,20160818,20260429,20250609,20251104,20251104,0,300255.SZ,股票,2026-06-16 20:26:34
电动自行车,80,1,70909,0,3.44,2.30,20260616,1.53,1.24,-34.31,66.69,65.96,0.96,0.06,86.26,0.70,2.44,3.61,-0.36,0.00,-4.85,-12.76,-12.50,-21.18,-27.04,-5.47,-25.00,775.96,-301.13,51809.00,128754.00,234219.00,206045.00,16798,34865,0.00,0.00,0.00,233000.00,0.00,27.89,996.00,10508.75,27976.40,0.00,0.00,0,1,0,0,2,0,2.84,5.18,2.72,21.00,0.00,0.63,-90.08,-205.86,-151.92,0.00,7.35,0,0,0,0,0,121505.46,23.30,-2817.00,1236.31,39493.06,1723.99,0.00,1739,0,0,0,0,20250922,20151111,20260429,20250220,20250407,20241211,0,300256.SZ,股票,2026-06-16 20:26:34
压缩机系列产品,88,2,11008,0,34.21,22.81,20260616,1.22,1.26,-74.19,274.64,263.88,0.44,0.03,126.32,-0.75,-3.05,9.28,-0.57,-2.51,-2.67,-16.37,-10.17,-13.46,96.73,-6.87,193.10,-3306.52,429.33,3164.00,8095.00,48475.00,45448.00,30172,59624,0.00,0.00,1.02,1635800.00,0.00,123.13,465.00,36316.47,91493.64,0.00,0.00,0,1,0,0,-1,1,27.07,38.43,9.11,63.00,0.00,1.09,86.19,77.79,79.68,0.35,4.14,0,0,0,0,0,38601.42,163.58,7692.36,2649.39,257538.92,54413.71,0.00,3740,0,0,0,0,20220708,20210108,20260428,20260310,20200203,20260310,0,300257.SZ,股票,2026-06-16 20:26:34
齿轴类,95,2,50108,0,14.52,9.68,20260616,4.78,1.70,-3.56,75.71,73.74,1.32,0.21,353.91,0.00,6.94,2.63,1.99,1.25,1.81,-4.78,14.81,-5.61,-9.39,1.73,1.09,4918.51,3975.41,7767.00,53935.00,124781.00,139692.00,22542,44204,0.00,0.00,0.00,123400.00,0.00,102.93,873.00,14705.15,64091.74,0.00,0.00,0,1,0,0,3,1,12.08,17.89,10.84,25.00,0.00,0.63,644.01,55.07,77.54,0.65,1.61,0,0,0,0,0,36042.27,12.34,-107.10,3225.72,145810.28,162.29,0.00,2294,0,20241106,0,0,20220526,20201126,20260421,20260508,20250407,20260508,0,300258.SZ,股票,2026-06-16 20:26:34
智能民用水表及系统,95,2,80808,0,7.33,4.89,20260616,3.47,0.90,64.77,68.27,68.25,1.32,0.17,229.78,1.00,-3.27,12.73,2.07,4.23,-0.00,-14.35,34.31,18.43,36.49,-9.36,82.41,-4290.78,-2565.01,21331.00,51545.00,133470.00,176392.00,43881,73994,0.00,0.00,-0.98,2476900.00,0.00,72.84,1344.00,40030.81,91673.72,0.00,0.00,0,1,0,0,-1,0,5.66,7.50,3.14,21.90,0.00,1.25,87.83,28.16,29.06,1.77,2.25,0,0,0,0,0,63522.93,247.69,1947.62,1236.96,36080.19,5864.06,0.00,1205,0,20240206,0,0,20180627,20161018,20260423,20200205,20200228,20260518,0,300259.SZ,股票,2026-06-16 20:26:34
